epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.819,3.84582,4.45971,1.43479,0.41845,0.16116,0.09131,0.03817,3.27284,3.39279,1.3308,0.000157141,0.000157141,0.000157141
2,106.706,3.35736,2.58178,1.28959,0.47837,0.27946,0.21656,0.10062,3.03677,2.17996,1.25664,0.000312681,0.000312681,0.000312681
3,157.202,3.20977,2.1291,1.25679,0.48285,0.30585,0.28702,0.14169,2.93007,1.86258,1.25312,0.00046508,0.00046508,0.00046508
4,207.494,3.113,1.90729,1.23052,0.47065,0.3691,0.31899,0.1557,2.95523,1.74786,1.23049,0.000461863,0.000461863,0.000461863
5,256.694,3.06077,1.77397,1.213,0.6168,0.44547,0.40694,0.20151,2.94934,1.58164,1.23218,0.00045715,0.00045715,0.00045715
6,306.995,3.03453,1.68201,1.18868,0.58343,0.43643,0.43791,0.22656,2.80146,1.46155,1.17739,0.000452438,0.000452438,0.000452438
7,356.071,2.96999,1.60911,1.16921,0.58533,0.41694,0.41157,0.20886,2.83187,1.46464,1.18557,0.000447726,0.000447726,0.000447726
8,405.095,2.9368,1.56159,1.17172,0.5977,0.46789,0.44937,0.2337,2.78423,1.4602,1.17984,0.000443013,0.000443013,0.000443013
9,454.874,2.9186,1.50837,1.15629,0.63676,0.49404,0.49491,0.26714,2.75349,1.36283,1.15691,0.000438301,0.000438301,0.000438301
10,504.19,2.85315,1.43391,1.15278,0.66013,0.46197,0.49653,0.26459,2.76649,1.34672,1.15483,0.000433588,0.000433588,0.000433588
11,553.242,2.86361,1.40845,1.13438,0.66826,0.51577,0.53122,0.29268,2.66609,1.25741,1.1409,0.000428876,0.000428876,0.000428876
12,603.212,2.81876,1.39895,1.13482,0.66907,0.49593,0.50877,0.27627,2.69612,1.29369,1.14244,0.000424164,0.000424164,0.000424164
13,652.092,2.80513,1.36766,1.13302,0.68446,0.49728,0.50202,0.2696,2.64886,1.2658,1.13498,0.000419451,0.000419451,0.000419451
14,701.772,2.80033,1.33196,1.11453,0.68635,0.53529,0.5764,0.31795,2.63775,1.21283,1.13414,0.000414739,0.000414739,0.000414739
15,751.7,2.78313,1.33725,1.11932,0.62967,0.53727,0.56396,0.3161,2.63657,1.22337,1.13409,0.000410026,0.000410026,0.000410026
16,800.684,2.7538,1.30522,1.11123,0.68432,0.50917,0.57374,0.3198,2.62714,1.1869,1.12698,0.000405314,0.000405314,0.000405314
17,849.756,2.7413,1.26914,1.10568,0.74938,0.50513,0.55256,0.29601,2.6829,1.22936,1.13387,0.000400602,0.000400602,0.000400602
18,899.694,2.74416,1.27422,1.10756,0.68512,0.56667,0.57288,0.31117,2.68809,1.17482,1.13907,0.000395889,0.000395889,0.000395889
19,948.904,2.73546,1.22522,1.10111,0.76517,0.53755,0.62178,0.3402,2.62689,1.13523,1.12341,0.000391177,0.000391177,0.000391177
20,998.81,2.70428,1.22622,1.09441,0.76176,0.53928,0.60284,0.3276,2.61349,1.15033,1.12087,0.000386464,0.000386464,0.000386464
21,1048.61,2.66512,1.19474,1.08668,0.73719,0.54786,0.58758,0.32375,2.63066,1.15035,1.12518,0.000381752,0.000381752,0.000381752
22,1098.05,2.67203,1.17028,1.08159,0.69966,0.55465,0.59743,0.33058,2.61691,1.13675,1.11923,0.00037704,0.00037704,0.00037704
23,1148.09,2.63146,1.15232,1.07545,0.76313,0.55711,0.61896,0.34697,2.54123,1.08789,1.10288,0.000372327,0.000372327,0.000372327
24,1197.9,2.64882,1.14016,1.08171,0.7862,0.55037,0.6309,0.35071,2.58996,1.08906,1.10674,0.000367615,0.000367615,0.000367615
25,1247.7,2.61057,1.13367,1.0735,0.79376,0.55035,0.64473,0.36439,2.56291,1.08776,1.10243,0.000362902,0.000362902,0.000362902
26,1298.42,2.58877,1.12863,1.07266,0.63021,0.62261,0.64468,0.36865,2.56817,1.09125,1.09822,0.00035819,0.00035819,0.00035819
27,1348.05,2.61142,1.13408,1.06946,0.78075,0.5745,0.65859,0.37897,2.55371,1.0591,1.10731,0.000353478,0.000353478,0.000353478
28,1397.78,2.55165,1.09317,1.06612,0.79312,0.5633,0.66878,0.37764,2.52172,1.06498,1.10309,0.000348765,0.000348765,0.000348765
29,1448.75,2.61794,1.11536,1.06621,0.80353,0.6,0.66278,0.37729,2.54973,1.03131,1.10634,0.000344053,0.000344053,0.000344053
30,1498.63,2.54324,1.06246,1.05463,0.81793,0.58051,0.66358,0.37121,2.56755,1.04624,1.10515,0.00033934,0.00033934,0.00033934
31,1548.69,2.56826,1.08588,1.05317,0.61611,0.67147,0.66901,0.37781,2.55913,1.03527,1.102,0.000334628,0.000334628,0.000334628
32,1599.57,2.52498,1.0661,1.05963,0.66587,0.60277,0.67127,0.37949,2.52138,1.05154,1.10036,0.000329916,0.000329916,0.000329916
33,1649.18,2.52121,1.05554,1.05411,0.81238,0.61442,0.71141,0.41029,2.53916,0.99958,1.10121,0.000325203,0.000325203,0.000325203
34,1698.78,2.49209,1.03288,1.05378,0.685,0.61945,0.67599,0.38845,2.54106,1.03282,1.0989,0.000320491,0.000320491,0.000320491
35,1749.79,2.50623,1.03032,1.04193,0.74662,0.61995,0.69973,0.40041,2.53347,1.0066,1.09278,0.000315778,0.000315778,0.000315778
36,1799.36,2.49554,1.01646,1.04558,0.77987,0.61821,0.70728,0.41209,2.47787,0.97921,1.08226,0.000311066,0.000311066,0.000311066
37,1849.41,2.49947,1.01659,1.04956,0.78391,0.6174,0.68942,0.39465,2.50923,0.99121,1.09271,0.000306354,0.000306354,0.000306354
38,1900.6,2.47662,0.99639,1.04083,0.77034,0.6444,0.71338,0.40908,2.5049,0.98784,1.08413,0.000301641,0.000301641,0.000301641
39,1950.3,2.43331,0.98778,1.04083,0.77143,0.58083,0.67851,0.37982,2.55219,1.00627,1.09553,0.000296929,0.000296929,0.000296929
40,2000.2,2.44661,0.98553,1.03547,0.70709,0.61261,0.69665,0.40358,2.49365,0.99825,1.09218,0.000292216,0.000292216,0.000292216
41,2051.28,2.44997,0.96959,1.03006,0.65952,0.67407,0.70147,0.40099,2.54119,1.00162,1.10033,0.000287504,0.000287504,0.000287504
42,2101.79,2.42822,0.97567,1.02916,0.78955,0.6443,0.71081,0.42425,2.49724,0.98308,1.09003,0.000282792,0.000282792,0.000282792
43,2151.27,2.44014,0.96619,1.03472,0.71565,0.65024,0.70949,0.41708,2.51472,0.98792,1.09835,0.000278079,0.000278079,0.000278079
44,2201.19,2.41003,0.94892,1.03139,0.73321,0.62873,0.68908,0.39329,2.57887,0.99543,1.11041,0.000273367,0.000273367,0.000273367
45,2251.58,2.42012,0.95648,1.03067,0.73785,0.63241,0.71608,0.41535,2.51295,0.97569,1.09336,0.000268654,0.000268654,0.000268654
46,2301.75,2.39172,0.94283,1.02235,0.78858,0.64326,0.74609,0.4349,2.5125,0.96107,1.09113,0.000263942,0.000263942,0.000263942
